Supplementary Table 12. Country-specific cumulative absolute risk for PGS strata across 19 phenotypes.,,,,,,,,,,,,
,,,,,,,,,,,,
Phenotype,Country,Sex,Study,Optimal Model,PGS Strata,Age,"Cumulative Absolute Risk 
(%)","Cumulative Absolute Risk  
Lower Confidence Interval
(%)","Cumulative Absolute Risk  
Upper Confidence Interval
(%)",,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,< 20%,65,2.53,2.21,2.83,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,< 20%,70,3.21,2.84,3.59,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,< 20%,75,3.87,3.46,4.27,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,< 20%,80,4.56,4.09,5.02,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,20-40%,5,0.00,0.00,0.00,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,20-40%,10,0.00,0.00,0.00,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,20-40%,15,0.00,0.00,0.00,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,20-40%,20,0.00,0.00,0.00,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,20-40%,25,0.01,0.01,0.01,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,20-40%,30,0.05,0.04,0.07,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,20-40%,35,0.17,0.13,0.21,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,20-40%,40,0.40,0.32,0.48,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,20-40%,45,0.81,0.66,0.96,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,20-40%,50,1.42,1.19,1.63,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,20-40%,55,2.16,1.86,2.46,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,20-40%,60,3.03,2.64,3.44,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,20-40%,65,4.01,3.51,4.46,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,20-40%,70,5.07,4.49,5.64,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,20-40%,75,6.11,5.49,6.69,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,20-40%,80,7.19,6.49,7.85,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,40-60%,5,0.00,0.00,0.00,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,40-60%,10,0.00,0.00,0.00,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,40-60%,15,0.00,0.00,0.00,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,40-60%,20,0.00,0.00,0.00,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,40-60%,25,0.01,0.01,0.01,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,40-60%,30,0.07,0.05,0.08,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,40-60%,35,0.22,0.17,0.27,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,40-60%,40,0.51,0.41,0.61,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,40-60%,45,1.05,0.86,1.23,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,40-60%,50,1.84,1.55,2.10,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,40-60%,55,2.80,2.42,3.19,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,40-60%,60,3.92,3.45,4.38,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,40-60%,65,5.18,4.59,5.74,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,40-60%,70,6.55,5.87,7.17,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,40-60%,75,7.87,7.16,8.57,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,40-60%,80,9.25,8.44,9.97,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,60-80%,5,0.00,0.00,0.00,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,60-80%,10,0.00,0.00,0.00,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,60-80%,15,0.00,0.00,0.00,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,60-80%,20,0.00,0.00,0.00,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,60-80%,25,0.01,0.01,0.02,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,60-80%,30,0.09,0.06,0.11,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,60-80%,35,0.29,0.23,0.36,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,60-80%,40,0.67,0.54,0.80,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,60-80%,45,1.36,1.13,1.60,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,60-80%,50,2.39,2.02,2.75,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,60-80%,55,3.63,3.15,4.16,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,60-80%,60,5.08,4.47,5.75,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,60-80%,65,6.70,5.94,7.46,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,60-80%,70,8.45,7.53,9.35,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,60-80%,75,10.13,9.19,11.11,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,60-80%,80,11.87,10.83,12.89,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,80-90%,5,0.00,0.00,0.00,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,80-90%,10,0.00,0.00,0.00,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,80-90%,15,0.00,0.00,0.00,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,80-90%,20,0.00,0.00,0.01,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,80-90%,25,0.02,0.01,0.02,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,80-90%,30,0.12,0.09,0.15,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,80-90%,35,0.39,0.31,0.48,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,80-90%,40,0.90,0.73,1.09,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,80-90%,45,1.83,1.51,2.18,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,80-90%,50,3.21,2.70,3.72,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,80-90%,55,4.86,4.17,5.61,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,80-90%,60,6.78,5.95,7.65,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,80-90%,65,8.91,7.83,9.95,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,80-90%,70,11.20,9.97,12.39,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,80-90%,75,13.39,12.11,14.68,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,80-90%,80,15.63,14.15,17.05,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,90-95%,5,0.00,0.00,0.00,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,90-95%,10,0.00,0.00,0.00,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,90-95%,15,0.00,0.00,0.00,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,90-95%,20,0.00,0.00,0.01,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,90-95%,25,0.02,0.02,0.02,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,90-95%,30,0.13,0.10,0.17,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,90-95%,35,0.45,0.35,0.55,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,90-95%,40,1.02,0.82,1.24,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,90-95%,45,2.08,1.71,2.47,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,90-95%,50,3.64,3.06,4.20,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,90-95%,55,5.51,4.65,6.32,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,90-95%,60,7.67,6.68,8.69,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,90-95%,65,10.06,8.83,11.28,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,90-95%,70,12.63,11.23,14.01,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,90-95%,75,15.07,13.54,16.60,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,90-95%,80,17.56,15.84,19.16,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,> 95%,5,0.00,0.00,0.00,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,> 95%,10,0.00,0.00,0.00,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,> 95%,15,0.00,0.00,0.00,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,> 95%,20,0.01,0.01,0.01,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,> 95%,25,0.03,0.02,0.03,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,> 95%,30,0.19,0.14,0.24,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,> 95%,35,0.64,0.50,0.79,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,> 95%,40,1.47,1.18,1.77,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,> 95%,45,2.98,2.46,3.52,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,> 95%,50,5.19,4.33,5.99,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,> 95%,55,7.83,6.73,8.99,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,> 95%,60,10.85,9.54,12.14,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,> 95%,65,14.16,12.45,15.83,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,> 95%,70,17.66,15.64,19.57,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,> 95%,75,20.93,18.80,22.96,,,
Breast Cancer,United Kingdom,Females,UK Biobank,None,> 95%,80,24.23,22.01,26.37,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,< 20%,5,0.12,0.00,0.29,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,< 20%,10,0.18,0.06,0.36,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,< 20%,15,0.26,0.13,0.45,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,< 20%,20,0.36,0.23,0.55,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,< 20%,25,0.60,0.44,0.81,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,< 20%,30,1.00,0.77,1.23,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,< 20%,35,1.69,1.39,2.00,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,< 20%,40,2.79,2.36,3.22,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,< 20%,45,4.94,4.23,5.61,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,< 20%,50,8.76,7.59,10.12,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,< 20%,55,14.99,13.36,16.81,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,< 20%,60,24.10,21.58,26.44,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,< 20%,65,37.56,34.27,40.90,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,< 20%,70,54.04,50.02,57.76,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,< 20%,75,68.29,64.49,71.85,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,< 20%,80,77.62,74.63,80.54,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,20-40%,5,0.12,0.00,0.31,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,20-40%,10,0.19,0.07,0.38,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,20-40%,15,0.28,0.15,0.47,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,20-40%,20,0.39,0.24,0.58,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,20-40%,25,0.64,0.46,0.87,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,20-40%,30,1.06,0.82,1.32,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,20-40%,35,1.80,1.49,2.14,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,20-40%,40,2.97,2.54,3.44,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,20-40%,45,5.26,4.51,5.95,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,20-40%,50,9.34,8.06,10.77,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,20-40%,55,16.08,14.39,18.02,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,20-40%,60,26.00,23.34,28.60,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,20-40%,65,40.60,37.30,44.04,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,20-40%,70,58.04,54.05,61.81,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,20-40%,75,72.32,68.72,75.48,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,20-40%,80,80.78,77.96,83.03,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,40-60%,5,0.13,0.00,0.32,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,40-60%,10,0.20,0.07,0.39,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,40-60%,15,0.29,0.15,0.48,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,40-60%,20,0.40,0.25,0.60,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,40-60%,25,0.66,0.48,0.87,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,40-60%,30,1.09,0.86,1.34,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,40-60%,35,1.85,1.55,2.15,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,40-60%,40,3.06,2.67,3.46,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,40-60%,45,5.42,4.79,6.01,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,40-60%,50,9.60,8.47,10.78,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,40-60%,55,16.51,14.94,18.20,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,40-60%,60,26.66,24.21,29.08,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,40-60%,65,41.51,38.46,44.41,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,40-60%,70,59.06,55.79,61.97,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,40-60%,75,73.21,70.39,75.71,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,40-60%,80,81.42,79.26,83.22,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,60-80%,5,0.14,0.00,0.36,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,60-80%,10,0.23,0.07,0.45,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,60-80%,15,0.32,0.17,0.55,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,60-80%,20,0.45,0.28,0.69,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,60-80%,25,0.75,0.53,0.99,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,60-80%,30,1.24,0.96,1.52,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,60-80%,35,2.09,1.74,2.49,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,60-80%,40,3.45,2.96,3.95,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,60-80%,45,6.10,5.41,6.87,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,60-80%,50,10.76,9.34,12.31,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,60-80%,55,18.34,16.45,20.34,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,60-80%,60,29.22,26.37,31.99,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,60-80%,65,44.70,41.18,47.89,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,60-80%,70,62.27,58.54,65.91,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,60-80%,75,75.72,72.51,78.80,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,60-80%,80,83.08,80.83,85.19,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,80-90%,5,0.14,0.00,0.37,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,80-90%,10,0.23,0.07,0.45,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,80-90%,15,0.32,0.16,0.55,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,80-90%,20,0.45,0.28,0.68,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,80-90%,25,0.74,0.53,1.00,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,80-90%,30,1.23,0.95,1.55,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,80-90%,35,2.08,1.72,2.52,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,80-90%,40,3.43,2.90,4.01,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,80-90%,45,6.07,5.26,6.99,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,80-90%,50,10.73,9.24,12.37,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,80-90%,55,18.39,16.39,20.84,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,80-90%,60,29.50,26.48,32.72,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,80-90%,65,45.37,41.49,49.17,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,80-90%,70,63.33,59.36,67.47,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,80-90%,75,76.81,73.35,80.10,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,80-90%,80,83.86,81.47,86.01,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,90-95%,5,0.15,0.00,0.37,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,90-95%,10,0.23,0.07,0.46,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,90-95%,15,0.33,0.16,0.56,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,90-95%,20,0.46,0.28,0.71,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,90-95%,25,0.76,0.55,1.04,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,90-95%,30,1.26,0.96,1.63,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,90-95%,35,2.12,1.73,2.60,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,90-95%,40,3.51,2.92,4.22,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,90-95%,45,6.20,5.20,7.34,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,90-95%,50,10.95,9.14,13.02,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,90-95%,55,18.73,16.24,21.62,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,90-95%,60,29.99,26.50,33.75,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,90-95%,65,45.99,41.57,50.51,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,90-95%,70,63.94,59.08,68.91,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,90-95%,75,77.27,72.84,81.19,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,90-95%,80,84.16,81.24,86.50,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,> 95%,5,0.19,0.00,0.46,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,> 95%,10,0.29,0.10,0.56,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,> 95%,15,0.42,0.21,0.70,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,> 95%,20,0.58,0.36,0.88,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,> 95%,25,0.96,0.68,1.28,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,> 95%,30,1.59,1.23,2.02,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,> 95%,35,2.68,2.22,3.26,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,> 95%,40,4.42,3.66,5.25,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,> 95%,45,7.77,6.65,9.06,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,> 95%,50,13.54,11.49,15.91,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,> 95%,55,22.41,19.82,25.39,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,> 95%,60,34.42,30.91,38.13,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,> 95%,65,50.36,46.05,54.79,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,> 95%,70,67.10,62.43,71.62,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,> 95%,75,78.91,75.22,82.51,,,
All Cancers,Massachusetts (USA),Males,Mass General Brigham,Age,> 95%,80,85.00,82.42,87.15,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,< 20%,5,0.06,0.03,0.11,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,< 20%,10,0.12,0.08,0.17,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,< 20%,15,0.24,0.18,0.31,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,< 20%,20,0.35,0.28,0.43,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,< 20%,25,0.61,0.50,0.73,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,< 20%,30,1.11,0.92,1.32,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,< 20%,35,2.14,1.80,2.49,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,< 20%,40,3.94,3.38,4.55,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,< 20%,45,7.14,6.28,8.18,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,< 20%,50,11.89,10.46,13.42,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,< 20%,55,18.13,16.34,20.06,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,< 20%,60,25.63,23.37,28.10,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,< 20%,65,35.15,32.49,38.00,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,< 20%,70,46.62,43.68,49.78,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,< 20%,75,58.40,54.88,62.00,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,< 20%,80,68.66,65.01,71.89,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,20-40%,5,0.07,0.03,0.11,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,20-40%,10,0.13,0.09,0.18,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,20-40%,15,0.25,0.19,0.33,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,20-40%,20,0.38,0.30,0.46,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,20-40%,25,0.65,0.54,0.76,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,20-40%,30,1.18,0.99,1.38,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,20-40%,35,2.28,1.94,2.61,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,20-40%,40,4.20,3.60,4.83,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,20-40%,45,7.60,6.69,8.59,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,20-40%,50,12.67,11.27,14.23,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,20-40%,55,19.40,17.54,21.45,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,20-40%,60,27.55,25.06,30.09,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,20-40%,65,37.94,34.95,40.84,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,20-40%,70,50.34,47.24,53.42,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,20-40%,75,62.81,59.44,65.85,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,20-40%,80,73.15,70.04,76.30,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,40-60%,5,0.07,0.03,0.11,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,40-60%,10,0.14,0.09,0.18,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,40-60%,15,0.26,0.19,0.33,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,40-60%,20,0.39,0.31,0.46,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,40-60%,25,0.67,0.57,0.77,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,40-60%,30,1.21,1.04,1.39,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,40-60%,35,2.35,2.03,2.64,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,40-60%,40,4.32,3.74,4.86,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,40-60%,45,7.81,7.02,8.57,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,40-60%,50,13.02,11.74,14.31,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,40-60%,55,19.91,18.25,21.67,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,40-60%,60,28.25,26.00,30.38,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,40-60%,65,38.82,36.22,41.20,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,40-60%,70,51.37,48.71,53.64,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,40-60%,75,63.88,61.40,66.14,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,40-60%,80,74.14,71.75,76.15,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,60-80%,5,0.08,0.03,0.13,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,60-80%,10,0.15,0.10,0.21,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,60-80%,15,0.30,0.22,0.38,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,60-80%,20,0.44,0.34,0.54,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,60-80%,25,0.75,0.63,0.89,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,60-80%,30,1.37,1.15,1.61,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,60-80%,35,2.65,2.27,3.04,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,60-80%,40,4.87,4.19,5.60,,,
